male_sex,nulliparous,gestational_age_week,gestational_age_day,L,M,S,p10,p90
FALSE,FALSE,38,4,0.529,2899.479,0.119,2475,3356
FALSE,FALSE,38,5,0.528,2915.194,0.118,2490,3372
FALSE,FALSE,38,6,0.525,2946.153,0.117,2521,3403
FALSE,FALSE,39,0,0.524,2961.413,0.116,2536,3418
FALSE,FALSE,39,1,0.523,2976.534,0.116,2551,3433
FALSE,FALSE,39,2,0.52,3006.372,0.115,2581,3463
FALSE,FALSE,39,3,0.519,3021.102,0.114,2595,3478
FALSE,FALSE,39,4,0.517,3050.21,0.113,2624,3507
FALSE,FALSE,39,5,0.516,3064.594,0.112,2638,3522
FALSE,FALSE,39,6,0.515,3093.031,0.111,2667,3550
FALSE,FALSE,40,0,0.514,3107.083,0.111,2681,3564
FALSE,FALSE,40,1,0.514,3121.024,0.11,2694,3578
FALSE,FALSE,40,2,0.514,3148.585,0.11,2722,3606
FALSE,FALSE,40,3,0.514,3162.218,0.109,2735,3619
FALSE,FALSE,40,4,0.514,3189.226,0.108,2762,3646
FALSE,FALSE,40,5,0.514,3202.614,0.108,2775,3660
FALSE,FALSE,40,6,0.515,3229.207,0.107,2801,3686
FALSE,FALSE,41,0,0.515,3242.431,0.106,2815,3700
FALSE,FALSE,41,1,0.516,3255.617,0.106,2828,3713
FALSE,FALSE,41,2,0.517,3281.897,0.105,2854,3739
FALSE,FALSE,41,3,0.517,3294.999,0.105,2867,3752
FALSE,FALSE,41,4,0.519,3321.147,0.104,2893,3778
FALSE,FALSE,41,5,0.519,3334.198,0.104,2906,3791
FALSE,FALSE,41,6,0.521,3360.271,0.103,2932,3817
