gestational_age_week,gestational_age_day,L,M,S,p10,p90
38,5,2.709,48.603,0.039,46.1,50.9
38,6,2.604,48.739,0.038,46.3,51
39,0,2.551,48.805,0.038,46.3,51.1
39,1,2.497,48.871,0.038,46.4,51.1
39,2,2.39,48.999,0.037,46.6,51.3
39,3,2.337,49.062,0.037,46.7,51.3
39,4,2.229,49.185,0.037,46.8,51.4
39,5,2.176,49.246,0.037,46.9,51.5
39,6,2.07,49.365,0.036,47,51.6
40,0,2.019,49.424,0.036,47.1,51.7
40,1,1.97,49.481,0.036,47.1,51.7
40,2,1.878,49.59,0.036,47.3,51.8
40,3,1.835,49.641,0.036,47.3,51.9
40,4,1.756,49.74,0.036,47.4,52
40,5,1.719,49.787,0.036,47.5,52
40,6,1.65,49.877,0.035,47.6,52.1
41,0,1.617,49.92,0.035,47.6,52.2
41,1,1.585,49.963,0.035,47.7,52.2
41,2,1.524,50.046,0.035,47.8,52.3
41,3,1.494,50.087,0.035,47.8,52.3
41,4,1.435,50.167,0.035,47.9,52.4
41,5,1.406,50.207,0.035,47.9,52.4
41,6,1.349,50.285,0.035,48,52.5
